Timestamp,Social_Impact,Gender,Age,Neighborhood,Occupation,MM_Usage_Duration,Heard_Scam,Victim,Nb_Times,Scam_Method,Other_Method,Amount_Lost_FCFA,Reported,Reported_To,Know_Detection,Info_Source,Need_Training,Suggestions
2025/05/29 12:11:03 PM UTC+1,Option 1,Male,26,Bini,Other,1 to 3 years,Yes,No,,Call from a stranger pretending to be an agent,,,No,A relative/friend,No,Mobile agent,Yes,
2025/05/29 12:12:09 PM UTC+1,Option 1,Male,27,"Ngaoundéré, ville",Other,More than 3 years,No,No,,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message; False transaction of a customer,,,No,,Yes,No awareness received,Yes,
2025/05/29 2:01:11 PM UTC+1,Option 1,Male,27,Bini,Other,More than 3 years,Yes,No,,,,,,,Yes,Relatives / friends,Yes,
2025/05/30 7:56:18 AM UTC+1,Option 1,Male,23,Bini,Other,More than 3 years,Yes,No,,,,,Yes,Other,Yes,Mobile agent;Relatives / friends,Yes,
2025/05/30 11:11:29 AM UTC+1,Option 1,Male,25,Bini,Phone credit / money transfer,More than 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent; False transaction of a customer,,,Yes,A relative/friend,Yes,Mobile agent,Yes,
2025/05/30 11:15:12 AM UTC+1,Option 1,Male,35,Bini,Phone credit / money transfer,More than 3 years,Yes,Yes,,Call from a stranger pretending to be an agent,,40000,Yes,Mobile operator,Yes,Mobile agent,Yes,
2025/05/30 11:20:03 AM UTC+1,Option 1,Male,27,Bini,Phone credit / money transfer,More than 3 years,Yes,No,,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,,,No,Other,Yes,Other,Yes,
2025/05/30 11:26:26 AM UTC+1,Option 1,Female,30,Bini,clothing business,More than 3 years,Yes,Yes,1,,A message of bonus supposedly compose such code to intefit and as soon as we enter our balance is empty,,Yes,A relative/friend,Yes,Mobile agent;Relatives / friends,Yes,
2025/05/30 11:33:12 AM UTC+1,Option 1,Male,34,Bini,Phone credit / money transfer,More than 3 years,Yes,Yes,,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,Usurpation techniques,,No,A relative/friend,Yes,Mobile agent;Relatives / friends,Yes,
2025/05/31 3:40:40 PM UTC+1,Option 1,Female,34,Dang,Phone credit / money transfer,More than 3 years,Yes,Yes,3,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,"They had come to make the credit and when I gave them the phone to compose their number they entered a code before doing what I asked for them, And after a few minutes my account is empty",80000,Yes,A relative/friend,No,Mobile agent;Relatives / friends,Yes,
2025/05/31 3:44:51 PM UTC+1,Option 1,Male,36,"Ngaoundéré, ville",Phone credit / money transfer,More than 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,I received a message that he asked me to deal with the code in the message to activate the free mega bonus and as soon as I entered the code my account is debited,34000,Yes,A relative/friend,No,Relatives / friends;Other,Yes,
2025/05/31 3:52:05 PM UTC+1,Option 1,Male,34,"Ngaoundéré, ville",Phone credit / money transfer,1 to 3 years,Yes,Yes,2,Fake withdrawal or deposit message,"I received a message from Orange for the 1xbet, And it was a link which I clicked on it and that day there was a match which I wanted to bet so I launched a deposit and I received a validation message but when I validated the money no longer arrived in my 1xbet account and my money is debited, I hadn't understood anything",,Yes,A relative/friend,Yes,Relatives / friends;Other,Yes,
2025/06/01 6:46:46 AM UTC+1,Option 1,Female,24,Bini,Other,1 to 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent,,5000,Yes,Mobile operator,Yes,Radio locale;Mobile agent;Relatives / friends,Yes,
2025/06/02 8:57:42 AM UTC+1,Option 1,Female,19,"Ngaoundéré, ville",clothing business,More than 3 years,Yes,Yes,1,Call from a stranger pretending to be an agent,,5000,Yes,A relative/friend,No,Relatives / friends;Other,Yes,
2025/06/02 9:00:26 AM UTC+1,Option 1,Female,22,Manwi,food business,Less than 1 year,Yes,Yes,1,Call from a stranger pretending to be an agent,,4000,Yes,A relative/friend,No,Relatives / friends,Yes,
2025/06/02 9:02:31 AM UTC+1,Option 1,Female,19,"Ngaoundéré, ville",food business,1 to 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent,,40000,Yes,A relative/friend,No,Relatives / friends,Yes,
2025/06/02 9:04:08 AM UTC+1,Option 1,Female,42,Gadamabanga,clothing business,1 to 3 years,Yes,Yes,1,Fake withdrawal or deposit message; Reimbursement request for a supposedly erroneous transfer,,15000,Yes,A relative/friend,No,Relatives / friends,Yes,
2025/06/02 9:05:27 AM UTC+1,Option 1,Female,27,Gadamabanga,Other,1 to 3 years,Yes,Yes,2,Fake withdrawal or deposit message; Reimbursement request for a supposedly erroneous transfer,,47000,Yes,A relative/friend,No,Relatives / friends,Yes,
2025/06/02 9:07:12 AM UTC+1,Option 1,Male,36,Manwi,Other,More than 3 years,Yes,No,,,,,,,No,Relatives / friends,Yes,
2025/06/02 9:08:27 AM UTC+1,Option 1,Female,32,Carrefour Borongo,Other,Less than 1 year,Yes,No,,,,,,,Yes,Mobile agent;Relatives / friends,Yes,
2025/06/02 9:09:42 AM UTC+1,Option 1,Male,33,Bini,clothing business,More than 3 years,Yes,No,,,,,,,Yes,Mobile agent;Relatives / friends,Yes,
2025/06/02 9:11:21 AM UTC+1,Option 1,Male,26,Gadamabanga,Phone credit / money transfer,1 to 3 years,Yes,Yes,1,Fake withdrawal or deposit message; Reimbursement request for a supposedly erroneous transfer,,7000,Yes,A relative/friend,No,Relatives / friends,Yes,
2025/06/02 9:13:05 AM UTC+1,Option 1,Female,27,"Ngaoundéré, ville",clothing business,1 to 3 years,Yes,No,,,,,,,No,Mobile agent;No awareness received,Yes,
2025/06/02 9:14:30 AM UTC+1,Option 1,Male,29,"Ngaoundéré, ville",Other,1 to 3 years,Yes,No,,,,,,,No,No awareness received,Yes,
2025/06/02 9:15:39 AM UTC+1,Option 1,Male,26,Dang,Other,More than 3 years,Yes,No,,,,,,,No,Relatives / friends,Yes,
2025/06/02 9:17:35 AM UTC+1,Option 1,Female,40,Carrefour Borongo,food business,1 to 3 years,Yes,Yes,1,Fake withdrawal or deposit message,,15000,Yes,A relative/friend,Yes,Mobile agent;Relatives / friends,Yes,
2025/06/02 9:19:07 AM UTC+1,Option 1,Male,17,"Ngaoundéré, ville",Other,1 to 3 years,Yes,Yes,1,Fake withdrawal or deposit message,,2000,Yes,A relative/friend,No,Mobile agent;Relatives / friends,Yes,
2025/06/02 9:20:52 AM UTC+1,Option 1,Female,28,Gadamabanga,food business,1 to 3 years,Yes,No,,,,,,,No,Relatives / friends,Yes,
2025/06/02 9:22:14 AM UTC+1,Option 1,Male,27,Carrefour Borongo,Phone credit / money transfer,More than 3 years,Yes,Yes,2,Fake withdrawal or deposit message; Reimbursement request for a supposedly erroneous transfer,,20000,Yes,A relative/friend,Yes,Relatives / friends,Yes,
2025/06/02 9:23:20 AM UTC+1,Option 1,Female,17,"Ngaoundéré, ville",Other,Less than 1 year,Yes,No,,,,,,,Yes,Mobile agent;Relatives / friends,Yes,
2025/06/02 9:24:27 AM UTC+1,Option 1,Female,33,Carrefour Borongo,food business,1 to 3 years,Yes,No,,,,,,,No,Relatives / friends,Yes,
2025/06/02 9:26:03 AM UTC+1,Option 1,Male,40,"Ngaoundéré, ville",Other,More than 3 years,Yes,Yes,3,Fake withdrawal or deposit message; Reimbursement request for a supposedly erroneous transfer,,70000,Yes,A relative/friend,Yes,Relatives / friends,Yes,
2025/06/02 9:27:20 AM UTC+1,Option 1,Male,28,Carrefour Borongo,clothing business,1 to 3 years,Yes,Yes,1,Fake withdrawal or deposit message,,17000,No,,No,Relatives / friends,Je ne sais pas,
2025/06/02 9:28:17 AM UTC+1,Option 1,Male,48,"Ngaoundéré, ville",clothing business,More than 3 years,Yes,No,,,,,,,Yes,Mobile agent;Relatives / friends,Yes,
2025/06/02 9:29:21 AM UTC+1,Option 1,Female,27,Carrefour Borongo,Other,More than 3 years,Yes,No,,,,,,,No,Relatives / friends,Yes,
2025/06/02 9:31:47 AM UTC+1,Option 1,Male,28,Manwi,Phone credit / money transfer,More than 3 years,Yes,Yes,1,Fake withdrawal or deposit message,,1000,No,,No,Relatives / friends,Yes,
2025/06/02 9:33:53 AM UTC+1,Option 1,Male,44,Gadamabanga,Other,More than 3 years,Yes,Yes,1,Fake withdrawal or deposit message,,200000,Yes,The police,No,Relatives / friends,Yes,
2025/06/02 9:35:14 AM UTC+1,Option 1,Male,25,Manwi,Other,More than 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message; Reimbursement request for a supposedly erroneous transfer,,25000,No,,No,Relatives / friends,Yes,
2025/06/02 9:36:12 AM UTC+1,Option 1,Male,31,Carrefour Borongo,Other,1 to 3 years,Yes,No,,,,,,,No,Relatives / friends,Yes,
2025/06/02 9:37:01 AM UTC+1,Option 1,Female,38,"Ngaoundéré, ville",Other,1 to 3 years,Yes,No,,,,,,,Yes,Relatives / friends,Yes,
2025/06/02 9:37:52 AM UTC+1,Option 1,Male,27,Bini,Other,1 to 3 years,Yes,No,,,,,,,No,Relatives / friends,Yes,
2025/06/02 9:39:33 AM UTC+1,Option 1,Male,29,Dang,Phone credit / money transfer,More than 3 years,Yes,Yes,3,Fake withdrawal or deposit message; False transaction of a customer; Reimbursement request for a supposedly erroneous transfer,,100000,Yes,A relative/friend,Yes,Relatives / friends,Yes,
2025/06/02 9:40:56 AM UTC+1,Option 1,Female,28,Dang,Other,More than 3 years,Yes,Yes,2,Fake withdrawal or deposit message; Reimbursement request for a supposedly erroneous transfer,,6000,No,,No,Mobile agent;No awareness received,Yes,
2025/06/02 9:43:09 AM UTC+1,Option 1,Male,44,"Ngaoundéré, ville",Other,More than 3 years,Yes,Yes,2,Fake withdrawal or deposit message,,2000,No,,No,Relatives / friends,Yes,
2025/06/02 9:44:35 AM UTC+1,Option 1,Female,23,Carrefour Borongo,Other,More than 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,,5000,No,,No,Relatives / friends,Yes,
2025/06/02 9:45:34 AM UTC+1,Option 1,Male,33,Manwi,Other,More than 3 years,Yes,No,,,,,,,No,Relatives / friends,Yes,
2025/06/02 9:47:03 AM UTC+1,Option 1,Male,42,Gadamabanga,Other,More than 3 years,Yes,Yes,1,Call from a stranger pretending to be an agent,,15000,No,,No,Relatives / friends,Yes,
2025/06/02 9:48:25 AM UTC+1,Option 1,Male,22,Dang,Phone credit / money transfer,1 to 3 years,Yes,No,,,,,,,No,Relatives / friends,Je ne sais pas,
2025/06/02 9:50:00 AM UTC+1,Option 1,Male,48,"Ngaoundéré, ville",Other,More than 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,,100000,Yes,A relative/friend,No,Relatives / friends,Yes,
2025/06/02 9:51:45 AM UTC+1,Option 1,Male,62,Dang,Other,More than 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,,60000,No,,No,Relatives / friends,Yes,
2025/06/02 9:58:51 AM UTC+1,Option 1,Female,49,Carrefour Borongo,food business,More than 3 years,Yes,Yes,1,Call from a stranger pretending to be an agent,,4000,No,A relative/friend,No,Relatives / friends,Yes,
2025/06/02 10:01:41 AM UTC+1,Option 1,Male,43,Carrefour Borongo,Phone credit / money transfer,More than 3 years,Yes,No,,,,,,,Yes,Mobile agent;Relatives / friends,Yes,
2025/06/02 10:02:57 AM UTC+1,Option 1,Female,23,Manwi,Other,1 to 3 years,Yes,No,,,,,,,Yes,Relatives / friends,Yes,
2025/06/02 10:04:48 AM UTC+1,Option 1,Female,19,Dang,food business,Less than 1 year,Yes,No,,,,,,,No,Relatives / friends,Je ne sais pas,
2025/06/02 10:07:14 AM UTC+1,Option 1,Male,26,Manwi,Phone credit / money transfer,1 to 3 years,Yes,No,,,,,,,No,Relatives / friends,Je ne sais pas,
2025/06/02 10:11:00 AM UTC+1,Option 1,Male,21,Dang,Phone credit / money transfer,More than 3 years,Yes,Yes,1,Call from a stranger pretending to be an agent,,1000,No,,No,Relatives / friends,Yes,
2025/06/02 10:12:21 AM UTC+1,Option 1,Male,27,Gadamabanga,Phone credit / money transfer,More than 3 years,Yes,Yes,3,,,0,,Mobile operator,Yes,Relatives / friends,Yes,
2025/06/02 10:12:44 AM UTC+1,Option 1,Male,25,Carrefour Borongo,Other,More than 3 years,Yes,No,,,,,,,No,Relatives / friends;No awareness received,Yes,
2025/06/02 10:18:03 AM UTC+1,Option 1,Female,22,Carrefour Borongo,food business,1 to 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent,,2000,No,,No,Relatives / friends,Je ne sais pas,
2025/06/02 10:20:12 AM UTC+1,Option 1,Male,39,Bini,clothing business,More than 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,,40000,No,,No,Relatives / friends,Yes,
2025/06/02 10:21:20 AM UTC+1,Option 1,Male,26,Bini,Other,1 to 3 years,Yes,Yes,1,Fake withdrawal or deposit message,,8500,Yes,A relative/friend,Yes,Relatives / friends,Yes,Sensibilisation
2025/06/02 10:21:55 AM UTC+1,Option 1,Female,21,"Ngaoundéré, ville",food business,1 to 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent,,3500,Yes,A relative/friend,No,Relatives / friends,Yes,
2025/06/02 10:23:49 AM UTC+1,Option 1,Female,48,"Ngaoundéré, ville",food business,1 to 3 years,Yes,Yes,3,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message; Reimbursement request for a supposedly erroneous transfer,,80000,Yes,A relative/friend,No,Relatives / friends;No awareness received,Yes,
2025/06/02 10:24:45 AM UTC+1,Option 1,Male,18,Dang,Other,More than 3 years,Yes,No,,,,,,,Yes,No awareness received,Yes,Be careful above all and also awareness on this side.
2025/06/02 10:25:44 AM UTC+1,Option 1,Male,28,"Ngaoundéré, ville",Other,Less than 1 year,Yes,Yes,1,Fake withdrawal or deposit message,40000,,Yes,A relative/friend,No,Relatives / friends;No awareness received,Yes,
2025/06/02 10:26:36 AM UTC+1,Option 1,Female,22,Dang,Other,More than 3 years,No,No,,,,,,,Yes,Relatives / friends,Je ne sais pas,
2025/06/02 10:28:09 AM UTC+1,Option 1,Male,22,Gadamabanga,Phone credit / money transfer,1 to 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent,,70000,Yes,A relative/friend,No,Relatives / friends;No awareness received,Yes,
2025/06/02 10:29:45 AM UTC+1,Option 1,Female,21,Dang,food business,1 to 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent; Other,Complicity of a mobile operator agent,17000,Yes,A relative/friend,Yes,Relatives / friends,Je ne sais pas,
2025/06/02 10:29:51 AM UTC+1,Option 1,Female,27,Carrefour Borongo,food business,Less than 1 year,Yes,No,,,,,,,No,Relatives / friends;No awareness received,Je ne sais pas,
2025/06/02 10:31:04 AM UTC+1,Option 1,Male,47,Manwi,Phone credit / money transfer,More than 3 years,Yes,No,,,,,,,No,Relatives / friends;No awareness received,Yes,
2025/06/02 10:32:14 AM UTC+1,Option 1,Male,30,Carrefour Borongo,Phone credit / money transfer,More than 3 years,Yes,No,,,,,,,Yes,Radio locale;Mobile agent;Relatives / friends,Yes,
2025/06/02 10:32:44 AM UTC+1,Option 1,Male,25,Dang,Phone credit / money transfer,More than 3 years,Yes,Yes,1,Other,Money deposit for a gift,15000,Yes,Mobile operator,Yes,Radio locale;Mobile agent;Relatives / friends,Je ne sais pas,
2025/06/02 10:33:40 AM UTC+1,Option 1,Female,66,Manwi,food business,1 to 3 years,Yes,Yes,1,Call from a stranger pretending to be an agent,,28000,Yes,A relative/friend,No,Relatives / friends,Yes,
2025/06/02 10:35:08 AM UTC+1,Option 1,Male,31,Carrefour Borongo,clothing business,More than 3 years,Yes,Yes,2,False transaction of a customer; Reimbursement request for a supposedly erroneous transfer,,,Yes,A relative/friend,Yes,Radio locale;Relatives / friends,Yes,
2025/06/02 10:35:42 AM UTC+1,Option 1,Male,39,Gadamabanga,food business,Less than 1 year,Yes,Yes,4,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,30000,,Yes,A relative/friend,No,Relatives / friends;No awareness received,Yes,
2025/06/02 10:36:46 AM UTC+1,Option 1,Male,29,Dang,Other,1 to 3 years,Yes,No,,,,,,,Yes,Radio locale;Mobile agent;Relatives / friends,Yes,
2025/06/02 10:37:05 AM UTC+1,Option 1,Male,19,Carrefour Borongo,Phone credit / money transfer,1 to 3 years,Yes,Yes,1,Fake withdrawal or deposit message,10000,,Yes,A relative/friend,No,Relatives / friends;No awareness received,Yes,
2025/06/02 10:39:54 AM UTC+1,Option 1,Female,23,"Ngaoundéré, ville",Phone credit / money transfer,More than 3 years,Yes,Yes,1,Other,Complicity of an agent and change of password,17000,Yes,A relative/friend,Yes,Relatives / friends,Je ne sais pas,
2025/06/02 10:41:47 AM UTC+1,Option 1,Female,45,"Ngaoundéré, ville",food business,Less than 1 year,Yes,Yes,1,Call from a stranger pretending to be an agent,4000,,Yes,A relative/friend,Yes,Relatives / friends,Yes,
2025/06/02 10:43:12 AM UTC+1,Option 1,Male,33,Manwi,clothing business,1 to 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,,50000,Yes,A relative/friend,No,Relatives / friends;No awareness received,Yes,
2025/06/02 10:44:47 AM UTC+1,Option 1,Male,27,"Ngaoundéré, ville",Other,1 to 3 years,Yes,Yes,1,Fake withdrawal or deposit message,2500,,Yes,A relative/friend,No,Relatives / friends,Yes,
2025/06/02 10:45:49 AM UTC+1,Option 1,Male,21,Dang,clothing business,1 to 3 years,Yes,No,,Nothing to report,,,,,Yes,Radio locale;Mobile agent;Relatives / friends,Je ne sais pas,
2025/06/02 10:46:03 AM UTC+1,Option 1,Female,22,Carrefour Borongo,Other,More than 3 years,Yes,No,,,,,,,No,No awareness received,Yes,
2025/06/02 10:47:30 AM UTC+1,Option 1,Male,33,Manwi,food business,1 to 3 years,Yes,Yes,2,Fake withdrawal or deposit message; Reimbursement request for a supposedly erroneous transfer,,40000,Yes,A relative/friend,Yes,Relatives / friends,Yes,
2025/06/02 10:48:33 AM UTC+1,Option 1,Female,20,Bini,Other,1 to 3 years,Yes,No,,,,,,,Yes,Mobile agent;Relatives / friends,Yes,
2025/06/02 10:48:55 AM UTC+1,Option 1,Male,33,Carrefour Borongo,clothing business,1 to 3 years,Yes,Yes,1,Other,Submission of money on a unconu number,13500,No,,Yes,Relatives / friends,Yes,
2025/06/02 10:52:10 AM UTC+1,Option 1,Male,22,Bini,Phone credit / money transfer,1 to 3 years,Yes,Yes,1,Reimbursement request for a supposedly erroneous transfer,,6500,Yes,A relative/friend,Yes,No awareness received,Je ne sais pas,
2025/06/02 10:52:49 AM UTC+1,Option 1,Male,32,Bini,Other,More than 3 years,Yes,No,,,,,,,Yes,Relatives / friends;Other,Yes,
2025/06/02 10:53:29 AM UTC+1,Option 1,Male,21,Bini,Other,More than 3 years,Yes,Yes,3,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,,14300,No,,Yes,Mobile agent,Je ne sais pas,
2025/06/02 10:54:56 AM UTC+1,Option 1,Male,26,Carrefour Borongo,Other,More than 3 years,Yes,Yes,1,Fake withdrawal or deposit message,,75000,Yes,A relative/friend,Yes,Mobile agent;Relatives / friends,Yes,Prudence
2025/06/02 10:55:50 AM UTC+1,Option 1,Male,25,Bini,Other,More than 3 years,Yes,Yes,1,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,70000,,No,,No,Other,Yes,
2025/06/02 10:56:13 AM UTC+1,Option 1,Female,22,Bini,Other,1 to 3 years,Yes,Yes,2,Fake withdrawal or deposit message; False transaction of a customer,,3500,Yes,A relative/friend,Yes,Mobile agent;Relatives / friends,Yes,
2025/06/02 10:57:48 AM UTC+1,Option 1,Male,26,Bini,Other,More than 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent,,70000,Yes,Other,No,Mobile agent;Relatives / friends,Yes,
2025/06/02 10:58:23 AM UTC+1,Option 1,Male,23,Bini,clothing business,1 to 3 years,Yes,Yes,1,Other,Money deposit in an account of the prostitutes group,2200,Yes,A relative/friend,Yes,No awareness received,Je ne sais pas,
2025/06/02 10:59:29 AM UTC+1,Option 1,Male,30,"Ngaoundéré, ville",clothing business,More than 3 years,Yes,Yes,3,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,,35000,Yes,A relative/friend,No,Mobile agent,Yes,
2025/06/02 10:59:51 AM UTC+1,Option 1,Male,27,"Ngaoundéré, ville",Phone credit / money transfer,1 to 3 years,Yes,No,,,,,,,Yes,Radio locale;Mobile agent;Relatives / friends,Yes,
2025/06/02 11:00:55 AM UTC+1,Option 1,Female,28,Gadamabanga,Phone credit / money transfer,More than 3 years,Yes,No,,,,,,,Yes,Mobile agent;Relatives / friends,Yes,
2025/06/02 11:01:05 AM UTC+1,Option 1,Male,15,"Ngaoundéré, ville",food business,1 to 3 years,Yes,Yes,1,False transaction of a customer,20000,,Yes,A relative/friend,No,Relatives / friends,Yes,
2025/06/02 11:01:48 AM UTC+1,Option 1,Female,25,"Ngaoundéré, ville",Phone credit / money transfer,More than 3 years,Yes,No,,,,,,,Yes,No awareness received,Je ne sais pas,
2025/06/02 11:02:48 AM UTC+1,Option 1,Male,19,Bini,Other,1 to 3 years,Yes,No,,,,,,,Yes,No awareness received,Je ne sais pas,
2025/06/02 11:02:52 AM UTC+1,Option 1,Female,27,"Ngaoundéré, ville",food business,More than 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,,37000,Yes,A relative/friend,No,Relatives / friends,Yes,Vigilance
2025/06/02 11:04:28 AM UTC+1,Option 1,Male,24,Dang,Phone credit / money transfer,More than 3 years,Yes,Yes,2,Fake withdrawal or deposit message,,25500,Yes,A relative/friend,Yes,Mobile agent;Relatives / friends,Yes,
2025/06/02 11:05:18 AM UTC+1,Option 1,Female,35,"Ngaoundéré, ville",food business,More than 3 years,Yes,Yes,3,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message; False transaction of a customer,,4500,No,,No,Relatives / friends,Yes,Identification of cards with identity document
2025/06/02 11:06:15 AM UTC+1,Option 1,Female,30,Dang,Other,More than 3 years,Yes,No,,,,,,,Yes,Relatives / friends,Yes,
2025/06/02 11:07:03 AM UTC+1,Option 1,Male,27,Dang,Other,1 to 3 years,Yes,Yes,1,Other,Creation of false transfer number,11000,No,,No,No awareness received,Je ne sais pas,
2025/06/02 11:09:05 AM UTC+1,Option 1,Female,43,Carrefour Borongo,Other,1 to 3 years,Yes,Yes,1,Other,Money deposit for a gift,,Yes,A relative/friend,No,No awareness received,Je ne sais pas,
2025/06/02 11:09:14 AM UTC+1,Option 1,Male,29,Carrefour Borongo,Other,More than 3 years,Yes,Yes,1,Call from a stranger pretending to be an agent,,32000,Yes,A relative/friend,Yes,Relatives / friends,Yes,
2025/06/02 11:10:36 AM UTC+1,Option 1,Female,26,"Ngaoundéré, ville",food business,More than 3 years,Yes,Yes,1,Call from a stranger pretending to be an agent,,5000,Yes,Other,No,Relatives / friends,Yes,
2025/06/02 11:11:39 AM UTC+1,Option 1,Male,25,Bini,Other,More than 3 years,Yes,No,,,,,,,Yes,Relatives / friends,Yes,
2025/06/02 11:11:44 AM UTC+1,Option 1,Male,24,Dang,Other,1 to 3 years,Yes,Yes,1,Other,,1100,No,,Yes,Relatives / friends,Je ne sais pas,
2025/06/02 11:13:20 AM UTC+1,Option 1,Male,23,Bini,Phone credit / money transfer,1 to 3 years,Yes,Yes,1,Fake withdrawal or deposit message,,75000,Yes,The police,Yes,Mobile agent,Yes,
2025/06/02 11:13:55 AM UTC+1,Option 1,Female,31,"Ngaoundéré, ville",Phone credit / money transfer,More than 3 years,Yes,Yes,1,Other,Word memorization go through another person (call box),57000,Yes,The police,Yes,Mobile agent;Relatives / friends,Je ne sais pas,
